relseconds,latitude,longitude,altitude,groundspeed
159.586,0,0,3129.85595703125,0
159.888,0,0,3129.85595703125,0
160.198,0,0,3114.0400390625,0
160.508,0,0,3114.0400390625,0
160.818,0,0,3114.0400390625,0
161.128,0,0,3114.0400390625,0
161.429,0,0,3114.0400390625,0
161.737,0,0,3105.55126953125,0
162.038,0,0,3105.55126953125,0
162.339,0,0,3102.50927734375,0
162.641,0,0,3100.91015625,0
162.943,0,0,3099.1083984375,0
163.245,0,0,3099.1083984375,0
163.546,0,0,3099.1083984375,0
163.853,0,0,3099.1083984375,0
164.154,0,0,3099.1083984375,0
164.455,0,0,3099.1083984375,0
164.756,0,0,3099.1083984375,0
165.057,0,0,3085.81494140625,0
165.359,0,0,3084.4609375,0
165.661,0,0,3082.444091796875,0
165.969,0,0,3080.352783203125,0
166.271,0,0,3080.352783203125,0
166.572,0,0,3078.134765625,0
166.874,0,0,3076.720947265625,0
167.176,0,0,3075.034912109375,0
167.478,0,0,3073.697998046875,0
167.795,0,0,3072.134033203125,0
168.103,0,0,3072.134033203125,0
168.405,0,0,3072.134033203125,0
168.706,0,0,3072.134033203125,0
169.007,0,0,3072.134033203125,0
169.308,0,0,3072.134033203125,0
169.609,0,0,3072.134033203125,0
169.91,0,0,3072.134033203125,0
170.333,0,0,3056.865478515625,0
170.754,0,0,3056.865478515625,0
171.064,0,0,3056.865478515625,0
171.365,0,0,3056.865478515625,0
171.666,0,0,3049.231201171875,0
171.968,0,0,3047.326416015625,0
172.276,0,0,3045.57861328125,0
172.599,0,0,3045.57861328125,0
172.875,0,0,3041.890380859375,0
173.176,0,0,3041.890380859375,0
173.477,0,0,3041.890380859375,0
173.778,0,0,3041.890380859375,0
174.079,0,0,3041.890380859375,0
174.386,0,0,3041.890380859375,0
174.688,0,0,3041.890380859375,0
174.989,0,0,3041.890380859375,0
175.29,0,0,3028.337158203125,0
175.592,0,0,3026.525146484375,0
175.894,0,0,3024.795654296875,0
176.196,0,0,3023.000244140625,0
176.504,0,0,3021.190185546875,0
176.806,0,0,3021.190185546875,0
177.127,0,0,3018.95751953125,0
177.403,0,0,3016.003173828125,0
177.704,0,0,3014.329833984375,0
178.006,0,0,3012.261962890625,0
178.308,0,0,3012.261962890625,0
178.615,0,0,3012.261962890625,0
178.917,0,0,3012.261962890625,0
179.218,0,0,3012.261962890625,0
179.519,0,0,3012.261962890625,0
179.82,0,0,3012.261962890625,0
180.121,0,0,3012.261962890625,0
180.431,0,0,2999.370361328125,0
180.854,0,0,2999.370361328125,0
181.165,0,0,2999.370361328125,0
181.466,0,0,2999.370361328125,0
181.767,0,0,2992.424072265625,0
182.069,0,0,2990.500732421875,0
182.371,0,0,2988.39111328125,0
182.673,0,0,2986.798828125,0
182.981,0,0,2985.427001953125,0
183.283,0,0,2985.427001953125,0
183.584,0,0,2985.427001953125,0
183.885,0,0,2985.427001953125,0
184.186,0,0,2985.427001953125,0
184.487,0,0,2985.427001953125,0
184.788,0,0,2985.427001953125,0
185.095,0,0,2985.427001953125,0
185.396,0,0,2985.427001953125,0
185.697,0,0,2969.92919921875,0
185.999,0,0,2968.433349609375,0
186.301,0,0,2966.7607421875,0
186.603,0,0,2965.394775390625,0
186.905,0,0,2962.959228515625,0
187.213,0,0,2961.733642578125,0
187.514,0,0,2961.733642578125,0
187.837,0,0,2958.09033203125,0
188.112,0,0,2954.90771484375,0
188.414,0,0,2954.90771484375,0
188.715,0,0,2954.90771484375,0
189.016,0,0,2954.90771484375,0
189.323,0,0,2954.90771484375,0
189.625,0,0,2954.90771484375,0
189.926,0,0,2954.90771484375,0
190.227,0,0,2954.90771484375,0
190.537,0,0,2940.55029296875,0
190.847,0,0,2940.55029296875,0
191.157,0,0,2940.55029296875,0
191.58,0,0,2940.55029296875,0
191.882,0,0,2940.55029296875,0
192.183,0,0,2930.258544921875,0
192.485,0,0,2928.5947265625,0
192.787,0,0,2927.31787109375,0
193.089,0,0,2925.438232421875,0
